가지나물,92646,가지
가지장아찌,92706,가지,설탕,물엿,굵은
간전,90039,돼지간,메밀가루,달걀,소금,후춧가루,식용유
갈치구이,90014,갈치,소금
갈치아가미젓,92712,갈치,소금
갈치조림,90032,갈치,무
갈치호박국,89953,갈치,늙은,어린,풋고추,붉은,물,다진,다진,국간장
감자죽,92532,감자,쌀,물,참기름,소금
갓김치,92642,갓
강술,90126,차조,밀누룩가루,물
강정,90113,차조가루,소금,반죽물,엿,식용유,세반
건옥돔구이,90015,옥돔,소금
게국,89954,게,생미역,물,국간장
게범벅,89939,게,보릿가루,물,국간장,소금,참기름
게술,90127,게,소주
게젓,90083,방게,소금,물,국간장,볶은,풋마늘대
게조림 [방법 2],92654,게,볶은,실파,간장,깨소금
게조림<방법 1>,90033,게,식용유,간장,설탕,물엿,통깨,물
게죽,89922,게,쌀,물,참기름,소금
고구마떡,90093,절간고구마가루,반죽물
고구마밥 ,89913,고구마,보리쌀,물
고구마순장아찌,90060,고구마순,고추장
고구마시루떡,90094,절간고구마가루
고기국수 [방법2],92549,돼지,돼지고기,국수,당근,물,소금
고기국수<방법1>,89943,돼지고기,양파,국수,달걀,콩나물,마늘,생강,물,된장,다진,깨소금,간장,국간장,소금
고둥국,89972,고둥,생미역,메밀가루,물,다진,국간장,참기름
고둥수제비,89947,고둥,밀가루,반죽물,양파,대파,물,소금,참기름
고둥죽,89930,고둥,쌀,물,실파,참기름,소금
고등어구이,90016,고등어,식초
고등어배춧국,89955,고등어,어린,물,풋고추,붉은,대파,다진,국간장,소금
고등어조림,90034,고등어,무,물
고등어죽,89923,고등어,쌀,물,참기름,소금
고사리누름전,90040,삶은,실파,달걀,소금,식용유
고사리볶음,90003,불린,물
고장떡,90095,멥쌀가루
고춧잎나물,90004,고춧잎
고춧잎장아찌<방법1>,90061,고춧잎
고춧잎장아찌<방법2>,90062,고춧잎,된장,소금물
골감주,90123,차조,엿기름가루,물
과줄,92733,밀가루,소금,반죽물,엿
군부물회,90046,군부,오이,양파,미나리,깻잎,부추,붉은,풋고추,물,식초
군부젓,92713,군부,소금
군부지,92693,군부,간장,물
기름떡,90096,찹쌀가루,반죽물,설탕
기름밥,89914,쌀,물,참기름
깻잎장아찌,90063,깻잎
꼬치구이,90017,오분자기,소라살,간장,참기름,깨소금
꿩고기숯불구이,90018,꿩고기,설탕
꿩만두,89952,꿩고기,메밀가루,두부,숙주나물,김치,달걀
꿩메밀칼국수,89950,꿩,메밀가루,반죽물,무,계란,물,김가루,깨소금,소금
